,Month,CalYear,IncidentNumber
0,Janvier,2017,11498
1,Janvier,2018,11320
2,Janvier,2019,11534
3,Janvier,2020,11977
4,Janvier,2021,11233
5,Janvier,2022,14012
6,Février,2017,10104
7,Février,2018,11309
8,Février,2019,10731
9,Février,2020,11806
10,Février,2021,11012
11,Février,2022,12817
12,Mars,2017,10870
13,Mars,2018,12889
14,Mars,2019,11965
15,Mars,2020,12366
16,Mars,2021,11694
17,Mars,2022,13630
18,Avril,2017,12120
19,Avril,2018,11485
20,Avril,2019,11943
21,Avril,2020,11211
22,Avril,2021,12531
23,Avril,2022,13753
24,Mai,2017,12066
25,Mai,2018,13243
26,Mai,2019,13067
27,Mai,2020,13054
28,Mai,2021,12830
29,Mai,2022,14603
30,Juin,2017,12884
31,Juin,2018,13306
32,Juin,2019,13115
33,Juin,2020,12487
34,Juin,2021,13697
35,Juin,2022,14408
36,Juillet,2017,13795
37,Juillet,2018,15766
38,Juillet,2019,14318
39,Juillet,2020,13046
40,Juillet,2021,14302
41,Juillet,2022,16758
42,Août,2017,12848
43,Août,2018,13315
44,Août,2019,13878
45,Août,2020,14049
46,Août,2021,13605
47,Août,2022,16517
48,Septembre,2017,12457
49,Septembre,2018,12787
50,Septembre,2019,13542
51,Septembre,2020,12950
52,Septembre,2021,13983
53,Septembre,2022,14624
54,Octobre,2017,13013
55,Octobre,2018,12976
56,Octobre,2019,13742
57,Octobre,2020,12659
58,Octobre,2021,15199
59,Octobre,2022,15974
60,Novembre,2017,12816
61,Novembre,2018,12471
62,Novembre,2019,13355
63,Novembre,2020,12056
64,Novembre,2021,14493
65,Novembre,2022,14807
66,Décembre,2017,12974
67,Décembre,2018,12117
68,Décembre,2019,12833
69,Décembre,2020,12071
70,Décembre,2021,13814
71,Décembre,2022,17180
