,IncGeo_BoroughName,DelaiIntervention
0,Barking and Dagenham,372.824888984003
1,Barnet,381.50043670752643
2,Bexley,375.6706985666329
3,Brent,376.5380333322019
4,Bromley,386.3136736626164
5,Camden,333.44160475482914
6,City Of London,318.81227007141314
7,Croydon,349.59101932253776
8,Ealing,360.3002096161404
9,Enfield,389.12742917562986
10,Greenwich,351.53823602133446
11,Hackney,331.450430168047
12,Hammersmith And Fulham,326.4939269813001
13,Haringey,344.3265733256351
14,Harrow,376.37596302003084
15,Havering,389.0949428509812
16,Hillingdon,411.0193710602734
17,Hounslow,366.6029932083452
18,Islington,319.1910692990592
19,Kensington And Chelsea,305.94025797691785
20,Kingston Upon Thames,367.70120082815737
21,Lambeth,304.4374165725434
22,Lewisham,336.95161700324815
23,Merton,352.658081824279
24,Newham,353.34176227776516
25,Redbridge,377.6263409101649
26,Richmond Upon Thames,366.0651103164429
27,Southwark,326.3256602174834
28,Sutton,360.77177021055365
29,Tower Hamlets,328.66037961369284
30,Waltham Forest,330.8083936441192
31,Wandsworth,340.1727383021281
32,Westminster,338.6322359225585
