,HourOfCall,DelaiIntervention
0,0,339.75362364807
1,1,347.8332820433913
2,2,354.5486085514191
3,3,355.52916952642414
4,4,356.8355016408814
5,5,354.3539267653689
6,6,359.1500865051903
7,7,341.1604050963737
8,8,330.45674944829517
9,9,325.11401043757525
10,10,336.1105742555946
11,11,361.06273735704934
12,12,366.6289156124299
13,13,363.9824231638305
14,14,365.79059820478324
15,15,368.5091805102933
16,16,363.97821063057114
17,17,363.42527407032816
18,18,354.5516710223438
19,19,342.7848958783375
20,20,333.0040118515247
21,21,332.063929176101
22,22,325.6555563207309
23,23,327.9450961615194
